symbol,from,to
BCHEUR,BCH,EUR
BCHUSD,BCH,USD
BCHXBT,BCH,XBT
DASHEUR,DASH,EUR
DASHUSD,DASH,USD
DASHXBT,DASH,XBT
EOSETH,EOS,ETH
EOSEUR,EOS,EUR
EOSUSD,EOS,USD
EOSXBT,EOS,XBT
ETCETH,ETC,ETH
ETCEUR,ETC,EUR
ETCUSD,ETC,USD
ETCXBT,ETC,XBT
ETHCAD,ETH,CAD
ETHEUR,ETH,EUR
ETHGBP,ETH,GBP
ETHJPY,ETH,JPY
ETHUSD,ETH,USD
ETHXBT,ETH,XBT
GNOETH,GNO,ETH
GNOEUR,GNO,EUR
GNOUSD,GNO,USD
GNOXBT,GNO,XBT
ICNETH,ICN,ETH
ICNXBT,ICN,XBT
LTCEUR,LTC,EUR
LTCUSD,LTC,USD
LTCXBT,LTC,XBT
MLNETH,MLN,ETH
MLNXBT,MLN,XBT
REPETH,REP,ETH
REPEUR,REP,EUR
REPUSD,REP,USD
REPXBT,REP,XBT
USDTUSD,USDT,USD
XBTCAD,XBT,CAD
XBTEUR,XBT,EUR
XBTGBP,XBT,GBP
XBTJPY,XBT,JPY
XBTUSD,XBT,USD
XDGXBT,XDG,XBT
XLMEUR,XLM,EUR
XLMUSD,XLM,USD
XLMXBT,XLM,XBT
XMREUR,XMR,EUR
XMRUSD,XMR,USD
XMRXBT,XMR,XBT
XRPCAD,XRP,CAD
XRPEUR,XRP,EUR
XRPJPY,XRP,JPY
XRPUSD,XRP,USD
XRPXBT,XRP,XBT
ZECEUR,ZEC,EUR
ZECJPY,ZEC,JPY
ZECUSD,ZEC,USD
ZECXBT,ZEC,XBT
