symbol,from,to
agibtc,agi,btc
agieth,agi,eth
agiusd,agi,usd
aidbtc,aid,btc
aideth,aid,eth
aidusd,aid,usd
aiobtc,aio,btc
aioeth,aio,eth
aiousd,aio,usd
antbtc,ant,btc
anteth,ant,eth
antusd,ant,usd
avtbtc,avt,btc
avteth,avt,eth
avtusd,avt,usd
batbtc,bat,btc
bateth,bat,eth
batusd,bat,usd
bchbtc,bch,btc
bcheth,bch,eth
bchusd,bch,usd
bcibtc,bci,btc
bciusd,bci,usd
bftbtc,bft,btc
bfteth,bft,eth
bftusd,bft,usd
btceur,btc,eur
btcgbp,btc,gbp
btcjpy,btc,jpy
btcusd,btc,usd
btgbtc,btg,btc
btgusd,btg,usd
cfibtc,cfi,btc
cfieth,cfi,eth
cfiusd,cfi,usd
daibtc,dai,btc
daieth,dai,eth
daiusd,dai,usd
datbtc,dat,btc
dateth,dat,eth
datusd,dat,usd
dshbtc,dsh,btc
dshusd,dsh,usd
dthbtc,dth,btc
dtheth,dth,eth
dthusd,dth,usd
edobtc,edo,btc
edoeth,edo,eth
edousd,edo,usd
elfbtc,elf,btc
elfeth,elf,eth
elfusd,elf,usd
eosbtc,eos,btc
eoseth,eos,eth
eoseur,eos,eur
eosgbp,eos,gbp
eosjpy,eos,jpy
eosusd,eos,usd
etcbtc,etc,btc
etcusd,etc,usd
ethbtc,eth,btc
etheur,eth,eur
ethgbp,eth,gbp
ethjpy,eth,jpy
ethusd,eth,usd
etpbtc,etp,btc
etpeth,etp,eth
etpusd,etp,usd
funbtc,fun,btc
funeth,fun,eth
funusd,fun,usd
gntbtc,gnt,btc
gnteth,gnt,eth
gntusd,gnt,usd
iosbtc,ios,btc
ioseth,ios,eth
iosusd,ios,usd
iotbtc,iot,btc
ioteth,iot,eth
ioteur,iot,eur
iotgbp,iot,gbp
iotjpy,iot,jpy
iotusd,iot,usd
lrcbtc,lrc,btc
lrceth,lrc,eth
lrcusd,lrc,usd
ltcbtc,ltc,btc
ltcusd,ltc,usd
mitbtc,mit,btc
miteth,mit,eth
mitusd,mit,usd
mnabtc,mna,btc
mnaeth,mna,eth
mnausd,mna,usd
mtnbtc,mtn,btc
mtneth,mtn,eth
mtnusd,mtn,usd
neobtc,neo,btc
neoeth,neo,eth
neoeur,neo,eur
neogbp,neo,gbp
neojpy,neo,jpy
neousd,neo,usd
odebtc,ode,btc
odeeth,ode,eth
odeusd,ode,usd
omgbtc,omg,btc
omgeth,omg,eth
omgusd,omg,usd
qshbtc,qsh,btc
qsheth,qsh,eth
qshusd,qsh,usd
qtmbtc,qtm,btc
qtmeth,qtm,eth
qtmusd,qtm,usd
rcnbtc,rcn,btc
rcneth,rcn,eth
rcnusd,rcn,usd
rdnbtc,rdn,btc
rdneth,rdn,eth
rdnusd,rdn,usd
repbtc,rep,btc
repeth,rep,eth
repusd,rep,usd
reqbtc,req,btc
reqeth,req,eth
requsd,req,usd
rlcbtc,rlc,btc
rlceth,rlc,eth
rlcusd,rlc,usd
rrtbtc,rrt,btc
rrtusd,rrt,usd
sanbtc,san,btc
saneth,san,eth
sanusd,san,usd
sngbtc,sng,btc
sngeth,sng,eth
sngusd,sng,usd
sntbtc,snt,btc
snteth,snt,eth
sntusd,snt,usd
spkbtc,spk,btc
spketh,spk,eth
spkusd,spk,usd
stjbtc,stj,btc
stjeth,stj,eth
stjusd,stj,usd
tnbbtc,tnb,btc
tnbeth,tnb,eth
tnbusd,tnb,usd
trxbtc,trx,btc
trxeth,trx,eth
trxusd,trx,usd
waxbtc,wax,btc
waxeth,wax,eth
waxusd,wax,usd
xlmbtc,xlm,btc
xlmeth,xlm,eth
xlmeur,xlm,eur
xlmgbp,xlm,gbp
xlmjpy,xlm,jpy
xlmusd,xlm,usd
xmrbtc,xmr,btc
xmrusd,xmr,usd
xrpbtc,xrp,btc
xrpusd,xrp,usd
xvgbtc,xvg,btc
xvgeth,xvg,eth
xvgeur,xvg,eur
xvggbp,xvg,gbp
xvgjpy,xvg,jpy
xvgusd,xvg,usd
yywbtc,yyw,btc
yyweth,yyw,eth
yywusd,yyw,usd
zecbtc,zec,btc
zecusd,zec,usd
zrxbtc,zrx,btc
zrxeth,zrx,eth
zrxusd,zrx,usd
